job_company,questions,answers,country,area
UI/UX Designer at Bit4id was asked...,Come mai volevo lavorare all'interno dell'azienda.,La reputo nello scenario globale una delle aziende meglio strutturate e solide.,Italy,UI Designer
UI/UX Designer at Oval Money was asked...,Complete the task included in the pdf.,"We are sorry that you perceive you had a negative feeling. It is not entirely clear to us, however, what has offended you. Your application has been taken into consideration, you have been contacted by e-mail, you have been given a task to highlight your professional quality and the test has been promptly evaluated. Unfortunately, your profile was not in line with our current needs. We understand the disappointment, but unfortunately, it happens. Regarding a possible contact in person, we prefer the conversation via e-mail to favour people who work in different countries, with different timezones and different commitments. In regretting your discomfort, we thank you for your contribution which allows us to inform potential candidates of our practices.",Italy,UI Designer
UI & UX Designer at Apple Developer Academy was asked...,Would you be willing to live in Naples?,"Tell me about yourself, how do you keep informed about tech?",Italy,UI Designer
UX/UI Lead Designer at Arkius was asked...,"Conoscenze pregresse, capacita' manageriali, approccio e attitudine alla gestione di processo",Esperienze in qualita' di designer e di ricercatrice in design,Italy,UI Designer
UI/UX Designer at Docebo was asked...,Quali sono state le mie ultime esperienze lavorative nell'ambito del design.,No answer,Italy,UI Designer
UI Designer at Bending Spoons was asked...,What do you do if you have a problem with one of your colleague?,No answer,Italy,UI Designer
UX/UI Designer at DXC Technology was asked...,Definisci e descrivi cos'è l'empatia per te,No answer,Italy,UI Designer
UX/UI Designer at DXC Technology was asked...,Esperienze lavorative e progetti personali,No answer,Italy,UI Designer
UI/User Experience Designer at Vodafone was asked...,Review the UX/UI of the corporate apps and website.,No answer,Italy,UI Designer
UI Designer at Publicis Sapient was asked...,speak about your portfolio and background,No answer,Italy,UI Designer
UI/UX Designer at Conflux Technologies was asked...,Solite domande di colloquio,No answer,Italy,UI Designer
UI/User Experience Product Designer at Docebo was asked...,Describe your design process,No answer,Italy,UI Designer
UX-UI Designer at Sopra Steria was asked...,Richiesta di presentare un progetto di test e di presentarlo.,No answer,Italy,UI Designer
UI Designer at Bending Spoons was asked...,Perchè hai scelto di candidarti per bending spoons? Quali sono i valori dell'azienda con cui ti senti allineato?,No answer,Italy,UI Designer
UI/UX Designer at Amaris Consulting was asked...,Quali sono i settori in cui vorresti o non vorresti lavorare come designer?,No answer,Italy,UI Designer
UX/UI Designer at Deloitte was asked...,Mostraci i tuoi progetti per favore.,No answer,Italy,UI Designer
UI Designer at Moze was asked...,Domanda inerenti al ruolo di Designer,No answer,Italy,UI Designer
UX/UI Designer at DXC Technology was asked...,Cosa sono le personas e blueprint,No answer,Italy,UI Designer
