job_company,questions,answers,country,area
Junior Web Developer at ShippyPro was asked...,classi astratte php e interfacce e traits,bene,Italy,Web Developer
Front End Web Developer at Innoteam was asked...,"""Qual è la differenza tra Vue e React?""","Ho comparato i due Framework parlando maggiormente di Vue, essendo il mio framework preferito. Ho discusso delle sue differenze ma anche delle similitudini.",Italy,Web Developer
Web Developer at Stihl was asked...,"Easy and well structured! Wonderful interview, really. They ask me about my skills, like: HTML, CSS, Javascript, Jquery, PHP. il capo era molto simpatico e ti mette a tuo agio, è raro in Italia trovare un posto di lavoro così, credetemi","Easy and well structured! Wonderful interview, really. They ask me about my skills, like: HTML, CSS, Javascript, Jquery, PHP. il capo era molto simpatico e ti mette a tuo agio, è raro in Italia trovare un posto di lavoro così, credetemi",Italy,Web Developer
Web Developer at MarcoPolo (Italy) was asked...,Esperienze lavorative,No answer,Italy,Web Developer
Web Developer at Thinkopen was asked...,Domande sul mio percorso professionale e domande tecniche inerenti a quello che avevo effettivamente studiato in passato,No answer,Italy,Web Developer
Web Developer at MarcoPolo (Italy) was asked...,Portfolio,No answer,Italy,Web Developer
Front End Web Developer at DaybreakHotels was asked...,Generally JS and react/redux discussions.,No answer,Italy,Web Developer
Web Developer at Facile.it was asked...,How do you solve the issue of a slow (My)SQL query?,No answer,Italy,Web Developer
Web Developer at EidosMedia was asked...,Risolvere un ciclo for in JS,No answer,Italy,Web Developer
PHP Web Developer at Mondadori was asked...,General questions about the assignment I did and others about PHP and Web.,No answer,Italy,Web Developer
Web Developer at Facile.it was asked...,"Object oriented design, design patterns",No answer,Italy,Web Developer
Web Developer at MarcoPolo (Italy) was asked...,Competenze tecniche web,No answer,Italy,Web Developer
Front End Web Developer at Innoteam was asked...,"""Perché hai inoltrato a noi il tuo CV?""",No answer,Italy,Web Developer
Front End Web Developer at Innoteam was asked...,"""Come ti vedi tra un paio d'anni?""",No answer,Italy,Web Developer
Web Developer at Sos Tariffe was asked...,Basic php code. Data structures and algorithms applied.,No answer,Italy,Web Developer
Web Developer at Facile.it was asked...,What's your PHP and web-related experience?,No answer,Italy,Web Developer
