job_company,questions,answers,country,area
Analista De Base De Datos at Posadas was asked...,¿Que posición tomarías en caso de que te enteres que un compañero de trabajo esta haciendo mal uso de la información de la compañía?,Denunciar inmediatamente el mal uso de dicha información.,Mexico,Data Analyst
Senior Data Analyst at Accenture was asked...,"Situational behavior, what would you do if someone needs help and the person in charge of taking care is not there?",They expect you to help them but only if you asked your manager first.,Mexico,Data Analyst
Senior Data Analyst at Accenture was asked...,SQL and ETL questions and answers (imaginary cases which I had to solve with code),You need to explain step by step the code you are thinking of,Mexico,Data Analyst
Data Analyst at Grupo Tress was asked...,Whats your experience? Have you ever worked before in something related to this job? Do you have financial experience? Tell me about the biggest challenge in your career.,"You only have to check the company's website, and answer with honesty, they don't tend to apply technical tests, they believe more in your ""willingness to learn"".",Mexico,Data Analyst
analista de datos at Taller de Tornos was asked...,desde conocimiento de herramientas hasta conocimeintos generales.,sin lugar a duda el trayecto de cada expericienca,Mexico,Data Analyst
Senior Data Scientist at Kueski was asked...,Technical and book concepts about learning models. Things like parameter Y for model T and so on.,Just read the documentation.,Mexico,Data Analyst
Data Science at Zigo Capital was asked...,How would you improve the dashboard?,suggested a few kpi's and visuals,Mexico,Data Analyst
Científico De Datos at Albo (Mexico) was asked...,"Preguntas básicas de clasificación y regresión, métricas, lo clásico para Data Science/ML. Me preguntaron mi experiencia sobre Reinforcement learning, esa no me la esperaba y creo que no hacía mucho sentido para el puesto que necesitaban.","Vale la pena repasar algunos conceptos básico ya que el entrevistador espera respuestas afiladas, puntuales y rápidas. (cosa que para mi no hace mucho sentido)",Mexico,Data Analyst
Data Analyst at BNN Mexico was asked...,Por que te gustaría desempeñarte en este puesto,Por que es un área en la que me considero fuerte y la cual me apasiona además que considero tengo mucho que aportar,Mexico,Data Analyst
analista de datos at Rosen was asked...,Como me veo en 10 años,Con familia y un buen cargo,Mexico,Data Analyst
Sr Data Scientist at GE was asked...,¿Qué es y para qué sirve una curva ROC y como se obtienes?,"Es una Reciving Operator Curve y se utiliza para evaluar la capacidad predictiva de un modelo de clasificación. Se usa para determinar un punto de equilibrio basándose en las necesidades del negocio, es decir, saber qué es más importante, falsos positivos o falsos negativos por ejemplo. Se calcula variado el umbral de discriminación para las clases del modelo y dibujando esta punto en una gráfica. El área bajo la curva (AUC) determina que tan bueno es el modelo.",Mexico,Data Analyst
Científico De Datos at Grupo Milenio was asked...,¿Quién eres tú?,Un apasionado de los datos,Mexico,Data Analyst
Data Scientist at Luxoft was asked...,Why do you change work so often?,I don't belive I do.,Mexico,Data Analyst
Data Scientist at Geoware (Mexico) was asked...,¿Cómo harías un sistema de machine learning que aprendiera en tiempo real?,No answer,Mexico,Data Analyst
Data Scientist at Stori Card was asked...,Tell me more about yourself?,No answer,Mexico,Data Analyst
Data Analyst at Clip was asked...,Preguntas comunes dentro de marketing metrics como CSV y customer segmentation. Proceso y que algoritmos usarías,No answer,Mexico,Data Analyst
Data Analyst at T. D. Williamson was asked...,About salary,No answer,Mexico,Data Analyst
Junior Data Analyst at Brightcove was asked...,Conocimiento técnico y enfoque personal,No answer,Mexico,Data Analyst
Data Scientist at BairesDev was asked...,Experiencia sobre tecnologías particulares de desarrollo,No answer,Mexico,Data Analyst
Data Analyst at HP Inc. was asked...,"About experience, knowledge, and education",No answer,Mexico,Data Analyst
Analista De Base De Datos at UTEL Universidad was asked...,Experiencia laboral anterior,No answer,Mexico,Data Analyst
Data Analyst at Didi Chuxing was asked...,¿Con cuantos conductores lanzarías el servicio en una ciudad donde no hay Didi?,No answer,Mexico,Data Analyst
Data Analyst at Minsait was asked...,"Experiencia, proyectos, escuela de procedencia, trabajos anteriores, tecnologías aprendidas.",No answer,Mexico,Data Analyst
Market Data Analyst at MSCI was asked...,"Questions depend a lot on the specific position, but for market data teams be prepared to answer questions on bond pricing, general statistics and stock options (i.e. greeks).",No answer,Mexico,Data Analyst
Científico De Datos at Coppel was asked...,¿Como se siente en cuanto a sus conocimientos en estadística?,No answer,Mexico,Data Analyst
analista de datos at Liverpool was asked...,¿Cómo me describiría como persona?,No answer,Mexico,Data Analyst
Data Scientist at Globant was asked...,"¿Por qué el algoritmo de vecinos cercanos no es adecuado en problemas con una dimensión alta? ¿Qué algoritmos sirven para seleccionar variables importantes? ¿Qué es el feature engineering? ¿En un problema de clasificación, cuándo es conveniente usar como métrica de evaluación la precisión y cuándo no funciona? ¿Cómo resolver un problema de clasificación des balanceado?",No answer,Mexico,Data Analyst
Junior Data Scientist at Bol.com was asked...,In onderdeel 6: Hoe ga je om met conflict? Wat op het werk zou jou kunnen irriteren?,No answer,Mexico,Data Analyst
Market Data Analyst at MSCI was asked...,How would you fix the European Crisis,No answer,Mexico,Data Analyst
Data Scientist at BairesDev was asked...,"Me gustaron los problemas que tenías que resolver, no eran tan complicados pero tenias que pensar y razonar un poco para resolverlo",No answer,Mexico,Data Analyst
Data Scientist Intern at Facebook was asked...,Que metricas ocuparias para poder recomendar hashtags a una persona en Facebook,No answer,Mexico,Data Analyst
Data Analyst at Yalo was asked...,"Preguntas Técnicas: herramientas de programación estadística, muestreo, SQL y bases de datos. Business Case. Preguntas no técnicas: Aspiraciones profesionales, visión, valor agregado etc.",No answer,Mexico,Data Analyst
Data Scientist at LeasePlan was asked...,¿Cuáles lenguajes de programación y herramientas digitales dominas?,No answer,Mexico,Data Analyst
Marketing Data Analyst at MSCI was asked...,"The questions were about finance and very similar between the teams. They ask me about risk managment, derivates and statistics.",No answer,Mexico,Data Analyst
Data Analyst at Grupo Modelo was asked...,How many toasters are in México?,No answer,Mexico,Data Analyst
Data Analyst at Rosen was asked...,Experiencia,No answer,Mexico,Data Analyst
Data Scientist at LeasePlan was asked...,¿Qué variables necesitarías para desarrollar un modelo de predicción de verificación vehicular?,No answer,Mexico,Data Analyst
Data Scientist at BairesDev was asked...,¿En qué porcentaje de la población mundial te consideras que estas intelectualmente hablando?,No answer,Mexico,Data Analyst
