job_company,questions,answers,country,area
Data Scientist at Kreditech Holding was asked...,Present a previous project and they will ask a lot of technical questions regarding the topic.,"Hello, can you give the details of the task that was given in the test.",Germany,Data Analyst
Data Analyst at Zalando was asked...,"- SQL: they use PostgreSQL, asked something related to join, rank, group by, index - Logistic related domain knowledge which is not my strength - Behavioral questions",be nice and have a nice conversation with them is important,Germany,Data Analyst
Data Analyst at Zalando was asked...,Why do you want to join zalando?,I did not,Germany,Data Analyst
Research Engineer/Data Science at Zalando was asked...,"Mostly technical / coding questions with limited time to answer, talk about past projects (with techncial depth), almost no questions with respect to data science (statistics, ml, math, modeling ...)",Could you provide some examples of the coding tests?,Germany,Data Analyst
Senior Data Analyst at Chrono24 was asked...,Warum will ich meinen derzeitigen Arbeitgeber verlassen.,Meine Situation geschildert,Germany,Data Analyst
Data Scientist at Lufthansa Industry Solutions was asked...,"Q1) Are you ready to travel? Q2) Projects are 6-9 months, are you interested in this? Q3) Do you know Java? Q4) We offer initially 2 year contracts?",A1) yes. A2) yes. What kind of project or any examples? She was void or said this is too technical for her. A3) yes but also there are more modern A-Z. The position I applied also doesn't mention Java? How is that? She was void and said this is to technical for her. A4) why not permanent contracts? She said this is Lufthansa methodology applied to all at the beginning.,Germany,Data Analyst
Junior Data Scientist at Actori was asked...,Introductory questions. Describing yourself. Your skills. Your past experiences. Presentation of a Case Study that was provided a few days before the interview.,I answered honestly. I sounded genuine and friendly. Smiling all the time. Presented the Case Study and answered the questions that followed.,Germany,Data Analyst
Data Scientist at vertical cloud solution was asked...,"HR Interview: Talk about the role, Do I have knowledge of algos like- LR, DT, RF etc.",Talked about my key responsibilities and my professional experiences,Germany,Data Analyst
Data Analyst at Monoqi was asked...,What is the standard deviation?,"I started giving them an explanation of what the standard deviation is, but I was cut off and told that they wanted the formula. I told them I don't know the formula off the top off my head to which they replied it is 1 over the sample size minus 1. That, to my knowledge, is not the standard formula for the standard deviation...",Germany,Data Analyst
Data Scientist at Teraki was asked...,"print numbers which contain digit ""5"" in them, in an specific range.","in Python, if you convert an int to an string, you can simply search a character ""5"" in it.",Germany,Data Analyst
Data Analyst at About You was asked...,How do you do funnels in BigQuery? What's the workflow to automate dashboards? How do you save money on queries of BigQuery?,"They sent me an automatic response saying that I was rejected from the interview process, without any clarification, nor respect for the time and effort I invested. I asked for a feedback due to I invested 3 days of my personal time to work on the case and presentation. Never recieved a reply, nor what could I have done better. A waste of time, a total abuse. Very frustrating, and infuriating. DO not waste your time with this peoplea.",Germany,Data Analyst
BI Data Analyst at Ecosia was asked...,Explain ideal KPI's for different different scenarios they will put up.,you must have experience or knowledge with all sort of Analysis.,Germany,Data Analyst
Data Analyst at Zalando was asked...,"1. first call with HR (30 mins) : questions about my background, experience and motivation 2. coding test (2 hours): SQL, python and statistical analysis 3. video call with the hiring manager (45 mins): the goal was to describe the role and see whether it would fit the expectations of the two parts. Also questions about how I approach a project in the past and different steps I decided to take and their related timing. 4. onsite interview (3 hours): the first hour was about soft-skills questions. The other 2 hours, the interview covered statistics, sql, python exercises and at the end also a case study.","What were the questions on SQL, Statistics and Python?",Germany,Data Analyst
Senior Data Analyst at Zalando was asked...,Erfahrung mit Personalverantwortung und Teamleitung?,"Hi, I'm going to have my final round interview in Zalando office where they will have some hard skills test, some mini cases. Could you please be so kind to give me some insight on what type of cases/ hard skill would be included?",Germany,Data Analyst
Product Data Analyst at N26 was asked...,Why have you applied to N26?,"Through questions like this, interviewers are mostly trying to test your skillset (and its relevance to the role) as robustly as possible, so be prepared for multiple offshoots and followups. It could be a useful exercise to do mocks with friends or colleagues in N26 to get a real sense of what the interview is actually like. Alternatively Prepfully has a ton of N26 Product Data Analyst experts who provide mock interviews for a pretty reasonable amount. prepfully.com/practice-interviews",Germany,Data Analyst
Data Analyst at trivago was asked...,"Based on this data, can you guess which country this come from?","Look for patterns in the seasonal data of bookings, look for peaks during summer vacations, narrow the country to a northern hemisphere or southern hemisphere, etc.",Germany,Data Analyst
Data Scientist at Delivery Hero was asked...,"All thing was about the my CV and Also, some Q about machine learning","It's essential to demonstrate that you can really go deep... there are plenty of followup questions and (sometimes tangential) angles to explore. There's a lot of Data Scientist experts who've worked at DeliveryHero, who provide this sort of practice through mock interviews. There's a whole list of them curated on Prepfully. prepfully.com/practice-interviews",Germany,Data Analyst
Senior Data Scientist at Delivery Hero was asked...,Some questions about my background and specialty,"It's essential to demonstrate that you can really go deep... there are plenty of followup questions and (sometimes tangential) angles to explore. There's a lot of Senior Data Scientist experts who've worked at DeliveryHero, who provide this sort of practice through mock interviews. There's a whole list of them curated on Prepfully. prepfully.com/practice-interviews",Germany,Data Analyst
Senior Data Scientist/Senior Data Engineer at FlixBus was asked...,The main portion of the interview is their HackerRank assignment. I was told I received the assignment for Data Engineers.,"I cannot reveal many details about this assignment. I recommend brushing up on some basic algorithms. Also, be familiar with developing code using Test Driven Development.",Germany,Data Analyst
