job_company,questions,answers,country,area
UX/UI Designer at Open Assessment Technologies was asked...,Are you able to sign an agreement with a university or a business school or any other institution?,"No, I am not.",Spain,UI Designer
UI Designer at netzstrategen was asked...,Why do you want to change your current job.,"Because I was looking for a different work culture (more flexible, dynamic, horizontal).",Spain,UI Designer
Graphic/UX-UI Designer at payever was asked...,Are you okay with 10-20 usd/hour?,Are you okay working weekends?,Spain,UI Designer
UI/UX Designer at Seocom was asked...,Since I dont know spanish he asked how much i understand and speak and if i understand design words.,I said no but that I am a fast learner and I understand basic conversation spanish,Spain,UI Designer
UI-UX Designer at Hewlett Packard Enterprise | HPE was asked...,What were my current responsibilities,Saying what I do actually execute in my current job,Spain,UI Designer
Junior User Experience UI Designer at KingEclient was asked...,"Personal questions, nothing unexpected.",Just being myself.,Spain,UI Designer
Senior UX/UI Designer at Lookiero was asked...,"Cuál ha sido mi trayectoria profesional, estudios, metodología de trabajo, proceso de diseño...","Con sinceridad, contando los hitos, problemas, errores cometidos, aprendizaje conseguido...",Spain,UI Designer
UI/User Experience Designer at Ubeeqo was asked...,The questions were quite normal,No answer,Spain,UI Designer
Diseñador Ux/Ui at KingEclient was asked...,Parece que antes de se entrevistado como tal y conocer las condiciones; los candidatos tienen que hacerse valer entregando una prueba técnica de la que ni siquiera te dan feedback al ser descartado. Lamentable departamento de selección. Ninguna seriedad ni profesionalidad.,"Apenas hablé 3 minutos con la seleccionadora, antes de que me pidieran una prueba técnica una semana después, con un correo plantilla.",Spain,UI Designer
UX-UI Designer at ALUXION LABS was asked...,Preguntas relacionadas al proceso de diseño + experiencia + Ejercicio técnico,No answer,Spain,UI Designer
UI/UX Designer at TeamCMP was asked...,What would be your ideal working environment?,No answer,Spain,UI Designer
Junior UI Designer at Ubeeqo was asked...,What's your design process?,No answer,Spain,UI Designer
UI-UX Designer at Fever was asked...,"I was asked to develop some high-fidelity mockups in 48h for a given case study (food journal app). There was no feedback on the things I sent, only a phone call from the recruiter saying I didn't ""pass"" the test, which I found ridiculous.",No answer,Spain,UI Designer
UI/UX Designer at Glovo was asked...,"What trends did you see these last years, and which upcoming ones do you see in the foreseeable future?",No answer,Spain,UI Designer
UI/UX Designer at Sopra Steria was asked...,Cómo es tu proceso de trabajo?,No answer,Spain,UI Designer
UI/UX Designer at Kantox was asked...,Kantox asked me how I would explain the work they do to my friends or family in a simple and easy to understand way.,No answer,Spain,UI Designer
Junior UI Designer at Ubeeqo was asked...,Are you familiar with Sketch?,No answer,Spain,UI Designer
Junior UI Designer at Ubeeqo was asked...,What are you doing currently?,No answer,Spain,UI Designer
UI/UX Designer at Digital Origin was asked...,where do you see in a couple of years?,No answer,Spain,UI Designer
UX-UI Designer at Erudit was asked...,¿Tienes pareja? ¿Cuanto lleváis?,No answer,Spain,UI Designer
UI Designer at netzstrategen was asked...,"Me preguntaron sobre mi background como diseñadora, sobre mi día a día en mi anterior puesto de trabajo y sobre las herramientas que normalmente utilizo.",No answer,Spain,UI Designer
UI/UX Designer at Socialpoint was asked...,Are you a mobile player? How much time of your day do you invest in playing videogames?,No answer,Spain,UI Designer
Ui\Ux Designer at ALUXION LABS was asked...,"Entre otras muchas preguntas, si había cometido algún error en algún trabajo y cómo lo solucioné.",No answer,Spain,UI Designer
UI/UX Designer at Glovo was asked...,What are the differences between designing for different native systems?,No answer,Spain,UI Designer
UI/UX Designer at Glovo was asked...,What's Material?,No answer,Spain,UI Designer
UI/UX Designer at Glovo was asked...,What do you think of our App?,No answer,Spain,UI Designer
Product Designer (UI) - Web Presence at Eventbrite was asked...,Experience working with remote teams,No answer,Spain,UI Designer
Ui\Ux Designer at Printful was asked...,Breves preguntas para acabar de aclarar puntos de tu CV.,No answer,Spain,UI Designer
UI/UX Designer at Kantox was asked...,Goals and expectations in my career.,No answer,Spain,UI Designer
UI/UX Designer at Kantox was asked...,What value will you bring to the company as a UX/UI designer?,No answer,Spain,UI Designer
Junior UI Designer at Ubeeqo was asked...,Are you familiar with the design system and atomic design?,No answer,Spain,UI Designer
Diseñador Ux/Ui at Grupo Planeta was asked...,"Formación, un pequeño test de aptitudes analizando una web, objetivos profesionales.",No answer,Spain,UI Designer
UI/UX Designer at Glovo was asked...,Name different user-testing methods.,No answer,Spain,UI Designer
Junior UI Designer at Ubeeqo was asked...,Show your work,No answer,Spain,UI Designer
UI/User Experience Designer at eDreams ODIGEO was asked...,To explain the exercises in detail,No answer,Spain,UI Designer
Junior UI Designer at Ubeeqo was asked...,Show your previous work,No answer,Spain,UI Designer
UI/UX Designer at Opinno was asked...,What is your experience?,No answer,Spain,UI Designer
UI & UX Designer at New Work SE was asked...,Explain why you decided to design it this way? After the design task.,No answer,Spain,UI Designer
UI/UX Designer at Kantox was asked...,My design process and hand-off.,No answer,Spain,UI Designer
UI/UX Designer at Kantox was asked...,Experience with agile methodologies.,No answer,Spain,UI Designer
UI/UX Designer at Kantox was asked...,A superficial usability analysis of their existing product.,No answer,Spain,UI Designer
